date,realtime_start,realtime_end,value
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
